Order_ID,Customer_Name,Segment,Region,City,Category,Product,Sales,Quantity,Discount,Profit,Ship_Mode,Order_Date,Year,Month,Day,Total_Sales,Customer_Segmentation
S1001,Ali,Consumer,Punjab,Lahore,Electronics,Laptop,120000,1,0.1,25000,Standard,2025-01-05,2025,January,Sunday,120000,High
S1002,Ahmed,Corporate,Sindh,Karachi,Furniture,Chair,15000,2,0.05,3000,Express,2025-01-06,2025,January,Monday,30000,Low
S1003,Sara,Home Office,Islamabad,Islamabad,Electronics,Tablet,65000,1,0.15,12000,Standard,2025-01-07,2025,January,Tuesday,65000,Medium
S1004,Ayesha,Consumer,Punjab,Faisalabad,Accessories,Mouse,2500,5,0.02,700,Express,2025-01-08,2025,January,Wednesday,12500,Low
S1005,Bilal,Corporate,Sindh,Karachi,Electronics,Mobile,85000,2,0.1,18000,Standard,2025-01-09,2025,January,Thursday,170000,High
S1006,Usman,Consumer,KPK,Peshawar,Furniture,Table,30000,1,0.05,5000,Standard,2025-01-10,2025,January,Friday,30000,Low
S1007,Fatima,Home Office,Punjab,Lahore,Electronics,Camera,98000,1,0.1,15000,Express,2025-01-11,2025,January,Saturday,98000,Medium
S1008,Hina,Consumer,Sindh,Karachi,Accessories,Keyboard,4500,2,0.03,900,Standard,2025-01-12,2025,January,Sunday,9000,Low
S1009,Hamza,Corporate,Islamabad,Islamabad,Electronics,Laptop,125000,1,0.12,26000,Express,2025-01-13,2025,January,Monday,125000,High
S1010,Zain,Consumer,KPK,Peshawar,Furniture,Sofa,55000,1,0.08,-4000,Standard,2025-01-14,2025,January,Tuesday,55000,Medium
S1011,Ali,Consumer,Punjab,Lahore,Electronics,Mobile,90000,2,0.1,20000,Express,2025-01-15,2025,January,Wednesday,180000,High
S1012,Ahmed,Corporate,Sindh,Karachi,Accessories,Mouse,2600,4,0.01,600,Standard,2025-01-16,2025,January,Thursday,10400,Low
S1013,Sara,Home Office,Islamabad,Islamabad,Electronics,Tablet,67000,1,0.15,13000,Express,2025-01-17,2025,January,Friday,67000,Medium
S1014,Ayesha,Consumer,Punjab,Faisalabad,Furniture,Chair,16000,2,0.05,3500,Standard,2025-01-18,2025,January,Saturday,32000,Low
S1015,Bilal,Corporate,Sindh,Karachi,Electronics,Mobile,88000,1,0.1,19000,Express,2025-01-19,2025,January,Sunday,88000,Medium
S1016,Usman,Consumer,KPK,Peshawar,Accessories,Keyboard,4800,3,0.02,1000,Standard,2025-01-20,2025,January,Monday,14400,Low
S1017,Fatima,Home Office,Punjab,Lahore,Electronics,Camera,98000,1,0.1,16000,Express,2025-01-21,2025,January,Tuesday,98000,Medium
S1018,Hina,Consumer,Sindh,Karachi,Furniture,Table,31000,1,0.05,5200,Standard,2025-01-22,2025,January,Wednesday,31000,Low
S1019,Hamza,Corporate,Islamabad,Islamabad,Electronics,Laptop,128000,1,0.12,27000,Express,2025-01-23,2025,January,Thursday,128000,High
S1020,Zain,Consumer,KPK,Peshawar,Accessories,Mouse,2400,6,0.01,650,Standard,2025-01-24,2025,January,Friday,14400,Low
S1021,Noman,Corporate,Punjab,Multan,Office Supplies,Printer,27000,2,0.08,4500,Standard,2025-01-25,2025,January,Saturday,54000,Medium
S1022,Farah,Consumer,Sindh,Hyderabad,Electronics,Monitor,42000,1,0.1,7000,Express,2025-01-26,2025,January,Sunday,42000,Low
S1023,Imran,Home Office,Islamabad,Islamabad,Furniture,Desk,38000,1,0.05,6000,Standard,2025-01-27,2025,January,Monday,38000,Low
S1024,Sana,Consumer,Punjab,Faisalabad,Accessories,Lamp,6500,3,0.02,1500,Express,2025-01-28,2025,January,Tuesday,19500,Low
S1025,Kamran,Corporate,KPK,Peshawar,Electronics,Laptop,122000,1,0.12,24000,Standard,2025-01-29,2025,January,Wednesday,122000,High
S1026,Iqra,Consumer,Balochistan,Quetta,Furniture,Sofa,56000,1,0.08,-3000,Express,2025-01-30,2025,January,Thursday,56000,Medium
S1027,Shahid,Home Office,Sindh,Karachi,Electronics,Tablet,66000,1,0.15,11000,Standard,2025-01-31,2025,January,Friday,66000,Medium
S1028,Nadia,Consumer,Punjab,Rawalpindi,Accessories,Mouse,2300,4,0.01,500,Standard,2025-02-01,2025,February,Saturday,9200,Low
S1029,Javed,Corporate,Islamabad,Islamabad,Office Supplies,Binder,1800,10,0.05,400,Express,2025-02-02,2025,February,Sunday,18000,Low
S1030,Rana,Consumer,KPK,Peshawar,Furniture,Chair,14000,2,0.05,2800,Standard,2025-02-03,2025,February,Monday,28000,Low
S1031,Ali,Corporate,Punjab,Lahore,Electronics,Mobile,87000,1,0.1,17000,Express,2025-02-04,2025,February,Tuesday,87000,Medium
S1032,Ahmed,Consumer,Sindh,Karachi,Accessories,Keyboard,4100,2,0.03,800,Standard,2025-02-05,2025,February,Wednesday,8200,Low
S1033,Sara,Home Office,Islamabad,Islamabad,Electronics,Camera,95000,1,0.1,14000,Express,2025-02-06,2025,February,Thursday,95000,Medium
S1034,Ayesha,Consumer,Punjab,Faisalabad,Office Supplies,Paper,800,20,0.02,200,Standard,2025-02-07,2025,February,Friday,16000,Low
S1035,Bilal,Corporate,Sindh,Karachi,Furniture,Table,32000,1,0.05,5500,Express,2025-02-08,2025,February,Saturday,32000,Low
S1036,Usman,Consumer,KPK,Peshawar,Electronics,Laptop,118000,1,0.1,22000,Standard,2025-02-09,2025,February,Sunday,118000,High
S1037,Fatima,Home Office,Punjab,Lahore,Accessories,Lamp,5500,2,0.02,1200,Express,2025-02-10,2025,February,Monday,11000,Low
S1038,Hina,Consumer,Sindh,Karachi,Furniture,Desk,36000,1,0.05,5800,Standard,2025-02-11,2025,February,Tuesday,36000,Low
